"ResourceTypeGeneral","ResourceType","Count"
"text","article",2029576
"text","journal article",1682817
"text","journal contribution",1222042
"text","taxonomic treatment",1214327
"text","post",617340
"text","thesis",526782
"text","text",439073
"text","vhsprogrammadult education collegesprogramme",364010
"text","book",307871
"text","presentation",296533
"text","paper",268294
"other","periodicalpart",263878
"text","dissertation",241830
"text","poster",232251
"text","conference paper",226255
"text","digital copy",219952
"text","preprint",189948
"other","online resource",189347
"text","report",171293
"text","species information",167769
"other","physical object",136851
"text","other",136828
"text","technical report",98535
"text","projectcomponent",97008
"text","book chapter",94275
"text","project",87830
"other","other",74210
"other","unav",72891
"text","conferencepaper",55731
"text","working paper",51517
"text","academic thesis",49758
"text","conference poster",48477
"text","project deliverable",47107
"other","conference contribution",41051
"text","letter",40509
"other","study",38141
"text","monograph",37553
"text","preregistration",37162
"other","text",34683
"text","conference abstract",34571
"other","report",33789
"text","rezensionreview",32521
"text","digitalisatdigital copy",31421
"text","paratext",30162
"other","educational resource",26027
"text","creativework",24192
"text","research proposal",23721
"text","doctoral thesis",21845
"other","manuscrits",21691
"text","experiment findings",21474
"other","master thesis",20490
"text","book section",19908
"text","zeitschriftenartikel",19615
"other","journal article",19602
"text","registrationcomponent",18210
"text","journalarticle",17899
"other","thesis phd",17622
"text","pdf document",16055
"text","document",15720
"other","newsprint",15716
"text","pdf",15303
"text","publication",15225
"text","doctoralthesis",15179
"text","journal issue",14898
"text","wissenschaftlicher artikel",14193
"text","textthesis",13987
"text","articles",13054
"text","method",12365
"text","blogentry",12338
"other","dissertation",11520
"text","diploma thesis",11378
"text","booksection",11262
"text","doctor of philosophy phd",11142
"other","newspaper",10513
"other","doctoral thesis",10483
"text","manuscript",10082
"text","technical note",9814
"other","problem",9571
"text","trabajo de grado  pregrado",8043
"text","objeto digital",8007
"text","theses",7727
"other","grant",7644
"text","article journal",7495
"text","master thesis",7385
"other","oceanographic cruise",7372
"other","wissenschaftlicher artikel",6408
"text","masters thesis",6336
"text","applicationpdf",6281
"text","conference contribution",6268
"text","masters paper",6176
"other","notes",5906
"text","programmed text book",5829
"text","manuskript",5801
"other","concept",5789
"text","conference article",5510
"text","case",5390
"text","chapter",5203
